QueryID,lpbound_Estimate
1,7017.850235085449
2,564.0506156741995
3,7017.850235085449
4,564.0506156741995
5,638953.8811275829
6,156694631.36117053
7,34952033.75746094
8,268777033.8346277
9,1855907.999999999
10,475877.9999999994
11,2993112.0000000033
12,24880944.634056363
13,10698124.050084192
14,33793177.31784489
15,77517.12934287667
16,434318.2576304162
17,11492.215528127634
18,81258.19871249924
19,378975385.29089695
20,12472084.000000011
21,1162162.9999999993
22,34227673.999999985
23,32912278.935953625
24,13196639.115977006
25,2049605.8469793622
26,23384440.178927165
27,19548534.684653927
28,37740152.04639745
29,21232915.898531064
30,106690522.58576418
31,111942.09099191021
32,111942.09099191021
33,59253999.4850685
34,2178535.0339124207
35,4122.061858356498
36,2880612.8340578815
37,6634572.590444013
38,2586136.3195293127
39,11043870.138798472
40,7499854.371752238
41,1264006472.2955155
42,1020116831.7191677
43,1264006472.2955155
44,84843722.35933769
45,9430235.810175257
46,43681053.684798874
47,62644826.28924099
48,378643165.55240345
49,594216778.7289497
50,541410474.3421265
51,315562701.30411834
52,285868345.6847324
53,22363462.080458283
54,19073833.764486887
55,22363462.080458283
56,138980569.7035318
57,138980569.7035318
58,45988005730.32203
59,711947500.5546157
60,105927576895.5759
61,2581860485.247365
62,578024273.8469758
63,285868345.68473166
64,223709376.46108246
65,2718946.807084439
66,187826851.30382583
67,138980569.7035318
68,259044079.42375895
69,227000896.4725718
70,2071444516.1192791
