QueryID,lpbound_Estimate
1,296153.3870412422
2,2376.9999999999977
3,326803.3982381461
4,110826.9999999999
5,1685234.0596629349
6,863148.0291305728
7,1274246.0000000012
8,41377.94751005915
9,271161.73814220785
10,809459.9999999935
11,200367.99999999994
12,728.9999999999987
13,479.73325921807873
14,22696.000000000004
15,271256.25186528027
16,863148.0291305728
17,2904.4297202721236
18,6068.7052984965185
19,863148.0291305728
20,97507.75902973075
21,378254.71509037854
22,54118.0961618376
23,58957.00000000014
24,1117389.9999999965
25,239.86662960903922
26,255.62472493872764
27,2242.435424438485
28,268.0000000000003
29,100505.9999999999
30,18730.99999999998
31,1781510.2514888959
32,45433.658943562856
33,379544.73477444006
34,486077.1106974697
35,1070560.000000001
36,75723.00000000009
37,529709.2614255473
38,44310.99999999988
39,1274246.0000000012
40,1274246.0000000012
41,1274246.0000000012
42,194257.00000000032
43,351089.0000000009
44,1274246.0000000012
45,1143296.386233673
46,130632.99999999975
47,6467.9999999999845
48,262478.99999999953
49,634273.9999999963
50,2186.9999999999936
51,115324.9999999997
52,1666407.542662945
53,84664.57577995655
54,28826.999999999884
55,271256.25186528027
56,23062.78285175036
57,139903.20429008274
58,1354.4803431574771
59,10852.835830083935
60,12385.35885666173
61,822.9999999999992
62,1005533.1441379759
63,139301.83457155197
64,34672.354392829526
65,23522.288025863283
66,718.0
67,2895.410333614218
68,23891.852272270524
69,13488.48146566521
70,36680.350203380556
71,24701.36671849853
72,30231.07669941023
73,29909.440783806025
74,34635.21207268769
75,36762.69111238611
76,23505.161135376184
77,1354.4803431574787
78,34811.6171250416
79,35669.96672174733
80,861.0000000000008
81,9319.48893827967
82,47590.726638705666
83,13206.000000000038
84,4992.074946475233
85,973.4094719078917
86,6685.195872942631
87,971.5113251192985
88,37684.99827549288
89,47590.726638705666
90,25588.597046568117
91,10963.252801974404
92,12434.338375763318
93,39570.58027371982
94,90189.73084112375
95,91171.73007943225
96,4541452.733275758
97,46637.45168853042
98,1384.000000000001
99,81010.00509196383
100,291.9999999999997
101,323.9999999999999
102,14929.359144836688
103,9931.731370922604
104,42403.0000000001
105,6028.147349302728
106,6685.195872942631
107,1161732.2597078914
108,44401.119325677224
109,27806.454139748916
110,26926.734113144834
111,2667.000000000002
112,1422032.0111908382
113,19592.300730085786
114,624270.2127528276
115,46975.645134781305
116,162729.8113401612
